"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11"
"SC260",-0.902013177374221,0.562474087320885,0.584228652536657,0.742851605838598,-1.28334080491603,-1.25571986083341,-0.233917015980973,-0.533949298630589,-0.740868302642026,0.079074132036195,0.765852613197987
"SC222",-0.933178606154589,1.70292869232941,0.605747889388674,-0.462679484718979,-0.521180087873886,0.856383348190081,-0.995050199418793,-0.431858649915116,-1.09267511422881,0.0394484147033342,-1.00617909168157
"SC266",-0.765366559292272,-0.456667666548853,-0.386728512213443,-2.75201896924368,-1.36266833843902,-0.900217070528935,1.01461810394849,-0.542971651178519,0.567118702681416,0.0942524865295872,-0.824950292830239
"SC267",0.521468986366827,0.488870179350398,0.074469941776031,0.894371261792297,0.933658732671638,0.350346198383359,-0.0996160041623474,0.476491644830245,-0.976853985138897,0.333531362364795,0.66089675591884
"SC272",1.10573576172905,-1.5589829925316,-0.056901859235315,0.749000567766819,1.21264735929022,0.88456788409423,1.28524357202141,-0.324413483075247,-0.898649832171388,0.43041463690691,-0.972824682855718
"SC275",0.718101390083871,0.670914557785124,-1.11735426625719,-0.22497740418336,0.356228078109511,0.454292291413683,-1.07594730206564,-0.677047846427911,-0.354813967285757,0.0707241639509249,-1.45670645529437
"HJ809",0.397827796820001,-0.620321177021718,0.343437035215685,0.590568293521414,-0.142350033327032,-1.25801433456869,1.09944823270586,1.60910034357885,0.237209611316996,0.164856495581319,0.722793604647467
"HJ867",0.492433875316853,0.186010062217018,0.737309501794471,-1.86895898693829,-1.16890510969818,-0.266912899809088,0.465568716912489,0.160844589590825,-0.409177707626243,-0.392809035906265,0.960563403821397
"SC50",-0.901619316264702,0.313097885904472,-0.241907625704786,0.509396674347222,0.392319263516964,-0.00244277533336629,0.949978227363499,-0.197932261913613,0.385676855936949,-0.0523761835424208,-1.37272379622691
"SC68",0.832108713092203,0.963493507626906,0.687891959276245,-0.705888170727846,0.814607943477951,0.832719857849554,1.5057014022771,0.248164408160439,-0.374734246032171,-0.158934278567023,0.373794612770179
"SC124",-0.941906163069464,0.28931273617298,-0.670443378292678,0.257520857364512,-0.440247538789174,0.823423620608072,0.220832275499592,0.492916539693041,0.775162435830386,-0.212780545464414,-0.457723948159817
"SC125",-0.928193889132598,0.499741367231855,-0.160404131385318,-0.28151562745723,0.695771203438606,0.756710941077086,-0.960065280837085,0.346926547293123,-0.104739272426445,-0.225874747798465,-0.422761890929192
"SC1",-0.988088979230999,-0.178990098704213,0.970743296815268,0.257246170439376,0.41614761288184,0.593731782727142,-0.905698460310585,-0.64858929298157,1.07485373699842,-0.363855507657855,-1.30125144360613
"SC4",-0.990882195037934,-0.209834466834318,-0.612192734885849,0.507362795197464,1.08730992382753,1.06903130393802,-0.0363013885141431,-0.713067602279488,-1.22900023696024,-0.493852392635609,0.869442278804096
"SC18",-0.711882924118584,-0.310503847798472,-0.135757827782256,-0.34547614903103,-0.233252430062191,1.013111098274,-0.0490794479132212,-0.69765963580952,-1.22794678436177,-0.42457003944198,-1.24355736538489
"SC33",-0.246582976891434,-1.38870329885371,-0.334877844601868,-0.286028199304351,-0.246273561403387,0.925526885976316,-0.5830456664681,0.274641970203168,-1.23984896872038,-0.489781850164639,0.607699243087267
"SC389",1.3962637412005,0.124513076425086,0.751382183927659,1.04974266125162,-0.365171570516634,-1.29940379828856,0.500964415765059,0.523290665880829,0.786758413106159,0.552565049517279,0.730421459582706
"SC408",2.01568198081096,1.32912775947516,-0.180287652379221,-0.276433886904469,1.07541824878095,-1.38992175964713,-0.844411501656037,0.819773118960147,0.938458336736086,0.251675697128786,0.892969676533524
"SC409",1.78589871707265,-0.369219555905544,-0.105584378099712,0.4811933566629,-1.39157638656401,-1.45928428563019,-0.112658997356686,0.417223559417355,1.00533707129308,0.185825190340762,0.763348414795166
"SC445",-0.220233259276298,-1.22254261630697,-1.06407995924977,0.925150530750248,-0.709995126495186,-0.564834249714969,-0.974047278402443,-0.540844478178366,1.97991183582031,0.329611476186436,0.847817007776717
"SC446",-0.735572916649822,-0.814718191333899,0.311309709356715,0.23957210357677,0.88085262208952,-0.1630941781772,-0.172516403407448,-0.0610391872180793,0.89882141787432,0.282855475932344,0.863079896033489
